City,Month - Year,NO (µg/m3),NOX (ppb),Benzene (µg/m3),Toluene (µg/m3),Ethyl Ben (µg/m3),MP Xylene (µg/m3),O xylene (µg/m3),WS (m/s),Temp (°C),RH (%),SR (W/m2),RG (mm)
Chandigarh,Jul-19,16.97,22.51,3.99,1.54,12.04,20.55,7.8,*,28.43,78.32,184.33,5.4
Chandigarh,Aug-19,16.05,20.81,3.72,0.9,8.23,16.22,6.42,0.75,28.23,82.48,203.06,33.77
Chandigarh,Sep-19,10.72,12.97,5.44,1.84,4.87,1.83,7.89,0.73,28.04,80.44,193.22,44.2
Chandigarh,Oct-19,15.6,16.22,5.02,2.66,3.62,1.12,1.7,0.67,22.91,73.54,189.55,2
Chandigarh,Nov-19,14.73,22.84,5.06,3.97,4.31,2.13,2.06,0.73,28.04,80.44,193.22,44.2
Chandigarh,Dec-19,20.92,23.89,5.5,0.36,1.54,0.37,0.73,0.65,10.98,88.64,100.21,3
Chandigarh,Jan-20,18.45,21.68,6.56,0.38,2.67,1.17,0.68,0.72,11.34,88.17,116.31,11.24
Chandigarh,Feb-20,12.63,18.91,5.93,0.36,3.3,1.14,1.43,0.93,15,78.22,178.15,6.04
Chandigarh,Mar-20,3.45,9.24,3.07,0.49,2.6,1.03,0.94,1,18.66,74.75,213.87,41.55
Chandigarh,Apr-20,2.21,7.84,3.14,0.59,2.98,0.84,1.1,0.86,24.67,51.27,248.6,28.23
Chandigarh,May-20,2.7,8.82,2.88,0.67,1.98,0.98,0.79,1,28.56,46.12,250.19,11.64
Chandigarh,Jun-20,1.69,6.17,3.46,1.44,1.94,0.45,0.74,0.9,29.84,64.92,254.64,17.18
Chandigarh,Jul-20,2.51,6.65,3.64,0.41,2.12,0.48,1.08,0.82,28.84,83.85,223.62,133.79
Chandigarh,Aug-20,3.24,7.42,4.91,0.59,1.93,0.49,0.89,0.75,28.3,93.16,200.66,257.38
Chandigarh,Sep-20,2.81,7.38,4.09,0.27,0.66,0.88,0.1,0.76,28.11,89.04,228.53,2.52
Chandigarh,Oct-20,6.48,19.15,6.94,0.72,0.8,0.37,0.26,0.59,23.6,64.67,201.19,0
Chandigarh,Nov-20,18.11,30.56,6.37,0.57,1.42,0.22,0.15,0.52,16.75,76.31,141.75,3.5
Chandigarh,Dec-20,23.38,35.69,8.24,0.69,1.56,0.26,0.22,0.69,12.37,87.59,126.64,3.33
Chandigarh,Jan-21,23.18,29.33,8.76,0.56,1.22,0.18,0.17,0.78,12.37,92.5,116.35,2.85
Chandigarh,Feb-21,23.16,30.01,8.06,0.85,1.56,0.23,0.21,0.74,16.56,80.18,176.55,6.6
Chandigarh,Mar-21,10.22,20.38,5.35,0.82,1.89,0.34,0.18,1.07,22.25,55.15,221.05,2.56
Chandigarh,Apr-21,23.18,29.33,8.76,0.56,1.22,0.18,0.17,1,25.85,35.22,247.74,5.09
Chandigarh,May-21,6.69,15.83,3.86,0.87,1.75,3.42,1.66,1,28.24,50.56,235.4,18.72
Chandigarh,Jun-21,2.78,11.78,3.38,0.54,1.79,3.3,2.07,0.91,29.77,70.99,264.05,30.54
Chandigarh,Jul-21,5.41,11.96,3.59,0.33,2.2,3.95,2.03,0.83,29.55,87.43,213.57,85.86
Chandigarh,Aug-21,5.08,11.19,5.02,0.77,2.55,4.47,2.32,0.65,28.11,99.19,215.76,62.35
Chandigarh,Sep-21,6.62,12.09,4.36,0.23,2.64,4.86,2.43,0.58,27.16,99.07,181.27,39.74
Chandigarh,Oct-21,7.29,17.17,5.29,0.26,2.9,5.56,2.72,0.61,23.9,89.75,187.54,2.1
Chandigarh,Nov-21,22.83,35.3,7.5,0.41,4.11,9.03,4.17,0.49,17.5,78.4,158.91,0
Chandigarh,Dec-21,44.22,55.63,10.26,0.5,4.94,5.8,4.61,0.47,12.81,88.2,117.68,0
